YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 06 04 00 328  9.3 10.8 99.00 99.00 99.00 999 1001.7   3.9 999.0 999.0 99.0 99.00
2019 01 06 05 00 314  7.7  8.5 99.00 99.00 99.00 999 1003.2   3.9 999.0 999.0 99.0 99.00
2019 01 06 06 00 299  6.8  7.4 99.00 99.00 99.00 999 1003.6   4.1 999.0 999.0 99.0 99.00
2019 01 06 07 00 301  7.4  7.9 99.00 99.00 99.00 999 1004.6   4.0 999.0 999.0 99.0 99.00
2019 01 06 08 00 307  7.7  8.3 99.00 99.00 99.00 999 1005.6   3.8 999.0 999.0 99.0 99.00
2019 01 06 09 00 310  7.7  8.8 99.00 99.00 99.00 999 1006.1   3.7 999.0 999.0 99.0 99.00
2019 01 06 10 00 279  7.0  7.7 99.00 99.00 99.00 999 1006.6   3.6 999.0 999.0 99.0 99.00
2019 01 06 11 00 286  7.9  8.8 99.00 99.00 99.00 999 1007.3   3.2 999.0 999.0 99.0 99.00
2019 01 06 12 00 289  7.7  8.5 99.00 99.00 99.00 999 1008.0   3.3 999.0 999.0 99.0 99.00
2019 01 06 13 00 283  9.0 10.3 99.00 99.00 99.00 999 1008.9   3.8 999.0 999.0 99.0 99.00
2019 01 06 14 00 268  8.5  9.7 99.00 99.00 99.00 999 1009.8   3.9 999.0 999.0 99.0 99.00
2019 01 06 15 00 274 10.7 11.8 99.00 99.00 99.00 999 1009.8   4.4 999.0 999.0 99.0 99.00
2019 01 06 16 00 270 10.0 10.7 99.00 99.00 99.00 999 1009.7   4.2 999.0 999.0 99.0 99.00
2019 01 06 17 00 276  8.1  9.0 99.00 99.00 99.00 999 1009.1   4.9 999.0 999.0 99.0 99.00
2019 01 06 18 00 305 10.1 11.5 99.00 99.00 99.00 999 1009.1   6.1 999.0 999.0 99.0 99.00
2019 01 06 19 00 311 11.2 12.3 99.00 99.00 99.00 999 1009.6   6.4 999.0 999.0 99.0 99.00
2019 01 06 20 00 309 11.3 12.4 99.00 99.00 99.00 999 1010.3   6.7 999.0 999.0 99.0 99.00
2019 01 06 21 00 340  9.2 10.0 99.00 99.00 99.00 999 1011.8   5.1 999.0 999.0 99.0 99.00
2019 01 06 22 00 328 10.7 12.1 99.00 99.00 99.00 999 1013.3   4.5 999.0 999.0 99.0 99.00
2019 01 06 23 00 326 13.9 15.3 99.00 99.00 99.00 999 1014.9   4.0 999.0 999.0 99.0 99.00
2019 01 07 00 00 321 14.4 17.5 99.00 99.00 99.00 999 1016.3   3.1 999.0 999.0 99.0 99.00
2019 01 07 01 00 324 15.8 17.8 99.00 99.00 99.00 999 1017.8   2.1 999.0 999.0 99.0 99.00
2019 01 07 02 00 325 15.9 18.9 99.00 99.00 99.00 999 1019.0   0.3 999.0 999.0 99.0 99.00
2019 01 07 03 00 330 10.9 12.7 99.00 99.00 99.00 999 1020.2  -0.4 999.0 999.0 99.0 99.00
2019 01 07 04 00 328 12.8 13.6 99.00 99.00 99.00 999 1021.2  -1.5 999.0 999.0 99.0 99.00
2019 01 07 05 00 313 12.7 14.3 99.00 99.00 99.00 999 1021.6  -1.8 999.0 999.0 99.0 99.00
2019 01 07 06 00 332 13.0 16.2 99.00 99.00 99.00 999 1022.4  -1.9 999.0 999.0 99.0 99.00
2019 01 07 07 00 328 14.7 16.9 99.00 99.00 99.00 999 1023.7  -3.2 999.0 999.0 99.0 99.00
2019 01 07 08 00 329 12.5 14.2 99.00 99.00 99.00 999 1025.0  -3.7 999.0 999.0 99.0 99.00
2019 01 07 09 00 329 15.0 18.1 99.00 99.00 99.00 999 1025.3  -4.1 999.0 999.0 99.0 99.00
2019 01 07 10 00 326 14.1 15.3 99.00 99.00 99.00 999 1025.9  -4.7 999.0 999.0 99.0 99.00
2019 01 07 11 00 324 14.5 16.6 99.00 99.00 99.00 999 1027.1  -5.3 999.0 999.0 99.0 99.00
